"lschraub",11,275,1.804955975214651
"matthewlboyd",0,284,1.5644162495931053
"MrsStoneberry",0,310,8.419888003667248
"acreal13",15,313,13.36254388491289
"TheRealFatBoy",35,299,14.408597151438185
"shoseyme",20,295,5.326299508412683
"Dan_Tonio",47,284,10.887565708160267
"badash26",39,307,17.252496957778806
"Taddie",47,311,29.380449056625718
"John_Boy",20,302,11.293241802851217
"lechel12",25,298,9.814357105890814
"Convertingspartys",2,275,1.953086280822762
"TheColoradoShakes",61,291,19.27841556866978
"DrunclePete",19,319,17.125712521870796
"JimboShoeLace",3,295,3.339980109532646
"Papa_Creal",21,271,2.805722157160429
"BardFan52",0,265,1.9822719573974732
